filename,status,bars,slow_ratio,center_ratio,fast_ratio,achievement,precision,balance,overall_score,rank,play_tendency,ranking_position,ranking_percentile,ranking_top_percent,ranking_title,error
11_仙石忍_グラフ_らびゅ&ピース伝説.PNG,OK,3,0.086705,0.768786,0.144509,100.769,76.879,75.000,76.503,S,All Round Player,675,37.520844913841024,37.520844913841024,パープルランカー,
11_仙石忍_グラフ_ゴーゴー・キッチン.PNG,OK,3,0.028902,0.809249,0.161850,100.809,80.925,30.303,70.800,AA+,Amazing Specialist,1168,64.92495831017231,64.92495831017231,オレンジランカー,
11_仙石忍_グラフ_サヨナラ・ヘヴン.png,OK,3,0.119403,0.771144,0.109453,100.771,77.114,95.652,80.822,SS,Balanced Player,308,17.120622568093385,17.120622568093385,シルバーランカー,
11_仙石忍_グラフ_スキスキハンター♡(3DMV).PNG,OK,3,0.069767,0.790698,0.139535,100.791,79.070,66.667,76.589,S,Fast Type,668,37.13173985547527,37.13173985547527,パープルランカー,
11_仙石忍_グラフ_スキスキハンター♡(ムービー).PNG,OK,3,0.051724,0.781609,0.166667,100.782,78.161,47.368,72.002,AAA,Fast Type,1069,59.4219010561423,59.4219010561423,レッドランカー,
11_仙石忍_グラフ_セイクリッド ルイン.PNG,OK,3,0.017241,0.712644,0.270115,100.713,71.264,12.000,59.411,B,Fast Type,1683,93.55197331851028,93.55197331851028,ホワイトランカー,
11_仙石忍_グラフ_プロローグのそのあとへ.png,OK,3,0.055276,0.814070,0.130653,100.814,81.407,59.459,77.018,S,Amazing Specialist,623,34.63035019455253,34.63035019455253,パープルランカー,
11_仙石忍_グラフ_催花雨の片道切符.png,OK,3,0.065000,0.775000,0.160000,100.775,77.500,57.778,73.556,AAA,Fast Type,944,52.47359644246804,52.47359644246804,レッドランカー,
11_仙石忍_グラフ_僕のウィーク・ポイント.PNG,OK,3,0.092486,0.838150,0.069364,100.838,83.815,85.714,84.195,SSS,Amazing Specialist,108,6.003335186214564,6.003335186214564,プラチナランカー,
11_仙石忍_グラフ_僕の気持ちを描く.png,OK,3,0.025126,0.798995,0.175879,100.799,79.899,25.000,68.920,AA,Fast Type,1309,72.76264591439688,72.76264591439688,グリーンランカー,
11_仙石忍_グラフ_朧.png,OK,3,0.080000,0.730000,0.190000,100.730,73.000,59.259,70.252,AA+,Fast Type,1207,67.09282934963868,67.09282934963868,オレンジランカー,
11_仙石忍_グラフ_熱血☆流星忍法帖.PNG,OK,3,0.098837,0.813953,0.087209,100.814,81.395,93.750,83.866,SS+,Precision Master,130,7.226236798221233,7.226236798221233,ゴールドランカー,
11_仙石忍_グラフ_瞬きSign☆.PNG,OK,3,0.095000,0.835000,0.070000,100.835,83.500,84.848,83.770,SS+,Amazing Specialist,132,7.337409672040023,7.337409672040023,ゴールドランカー,
11_仙石忍_グラフ_終わらないシンフォニア.PNG,OK,3,0.075145,0.803468,0.121387,100.803,80.347,76.471,79.572,S+,Amazing Specialist,400,22.234574763757642,22.234574763757642,ブロンズランカー,
126F9C3D-3A41-4D02-8531-B43B92EBE384.jpg,OK,3,0.136364,0.670455,0.193182,100.670,67.045,82.759,70.188,AA+,All Round Player,1215,67.53752084491384,67.53752084491384,オレンジランカー,
129219FD-3233-4E5C-82B8-B01F88801237.jpeg,OK,3,0.131034,0.772414,0.096552,100.772,77.241,84.848,78.763,S+,All Round Player,467,25.958866036687052,25.958866036687052,ブロンズランカー,
12_守沢千秋_グラフ_=EYE=.PNG,OK,3,0.050000,0.775000,0.175000,100.775,77.500,44.444,70.889,AA+,Fast Type,1160,64.48026681489716,64.48026681489716,オレンジランカー,
